Image Name,Precision,Recall,F1-Score,IoU,Accuracy,ProcessingTime,TP,FP,FN,TN
183_F.png,0.9943,0.9909,0.9926,0.9853,0.9996,0.3604,1740,10,16,63770
184_F.png,0.0266,0.0051,0.0085,0.0043,0.7448,0.3621,72,2637,14085,48742
185_F.png,0.983,0.9858,0.9844,0.9692,0.9975,0.3586,5197,90,75,60174
186_F.png,1.0,0.0109,0.0215,0.0109,0.9736,0.3666,19,0,1730,63787
187_F.png,0.1047,0.0339,0.0512,0.0263,0.9469,0.381,94,804,2679,61959
188_F.png,0.3404,0.2436,0.284,0.1655,0.984,0.3675,208,403,646,64279
189_F.png,0.9905,0.992,0.9913,0.9827,0.9996,0.363,1361,13,11,64151
190_F.png,0.9858,0.399,0.568,0.3967,0.9839,0.3646,693,10,1044,63789
191_F.png,0.9745,0.9745,0.9745,0.9503,0.9993,0.2292,880,23,23,64610
192_F.png,0.1296,0.0289,0.0473,0.0242,0.9785,0.4668,35,235,1176,64090
193_F.png,0.9925,0.9954,0.994,0.988,0.9965,0.4204,19078,144,88,46226
194_F.png,0.9919,0.9277,0.9587,0.9208,0.9896,0.2518,7947,65,619,56905
195_F.png,0.9958,0.0233,0.0456,0.0233,0.8499,0.2271,235,1,9833,55467
196_F.png,0.9895,0.9206,0.9538,0.9117,0.9897,0.3613,6968,74,601,57893
197_F.png,0.0,0.0,0.0,0.0,0.9883,0.2421,0,0,764,64772
198_F.png,0.9425,0.9764,0.9592,0.9215,0.9989,0.4145,869,53,21,64593
199_F.png,1.0,0.1269,0.2252,0.1269,0.9921,0.2411,75,0,516,64945
200_F.png,0.0,0.0,0.0,0.0,0.9593,0.2645,0,30,2637,62869
